measure,year,value
Units Collected,2007,16698000
Weight Collected (Tonnes),2007,984.2
Units Collected,2008,18108000
Weight Collected (Tonnes),2008,1140.4
Units Collected,2009,17917000
Weight Collected (Tonnes),2009,1224.1
Units Collected,2010,17488000
Weight Collected (Tonnes),2010,1204.1
Units Collected,2011,16440000
Weight Collected (Tonnes),2011,1069.2
Units Collected,2012,16725000
Weight Collected (Tonnes),2012,1090.6
Units Collected,2013,16719000
Weight Collected (Tonnes),2013,1122
Units Collected,2014,16843000
Weight Collected (Tonnes),2014,1144.4
Units Collected,2015,16994000
Weight Collected (Tonnes),2015,1170.5
Units Collected,2016,17084000
Weight Collected (Tonnes),2016,1154
Units Collected,2017,16987000
Weight Collected (Tonnes),2017,1119.8
